algo,samples,attrs,split,accuracy
modlem,all,all,25,84.321959755
random-forest,all,all,25,90.0437445319
modlem-bagging,half,no_pix,25,74.5448179272
modlem,all,no_pix,25,72.5984251969
modlem-boosting,half,no_pix,50,78.4776902887
random-modlem,all,all,25,84.1819772528
modlem-boosting,half,all,75,88.4332281809
modlem-boosting,all,no_pix,25,78.3552055993
random-forest,half,no_pix,25,79.9719887955
modlem-boosting,all,no_pix,75,81.7847769029
modlem,all,all,50,86.1679790026
modlem,half,no_pix,50,74.0682414698
modlem,half,all,75,84.4374342797
modlem,half,all,25,79.1666666667
random-modlem,all,all,75,88.5564304462
random-modlem,all,no_pix,50,77.6377952756
modlem-boosting,all,all,25,88.0489938758
modlem-bagging,half,all,50,85.3018372703
modlem-bagging,half,all,25,82.2829131653
random-modlem,half,no_pix,25,75.1050420168
modlem-bagging,all,no_pix,25,75.3280839895
modlem,half,no_pix,75,75.0788643533
modlem,half,all,50,83.2020997375
modlem-boosting,all,all,50,88.9501312336
modlem-bagging,all,no_pix,75,77.9002624672
random-forest,half,all,75,90.2208201893
modlem-bagging,all,all,50,88.2677165354
modlem-boosting,half,no_pix,25,77.2759103641
modlem-bagging,all,all,75,89.8687664042
modlem,half,no_pix,25,73.0392156863
random-forest,half,all,50,88.8713910761
random-forest,all,all,75,91.3910761155
random-modlem,half,no_pix,75,77.0767613039
modlem,all,no_pix,50,75.0656167979
modlem-bagging,all,no_pix,50,76.4041994751
random-forest,half,no_pix,75,80.967402734
random-modlem,half,all,50,84.1469816273
random-forest,half,no_pix,50,81.8372703412
random-modlem,half,all,75,84.5425867508
random-modlem,half,no_pix,50,76.7979002625
modlem-boosting,half,all,25,83.718487395
random-modlem,all,no_pix,25,75.5380577428
random-forest,all,no_pix,50,82.4146981627
modlem,all,all,75,88.3464566929
modlem-bagging,all,all,25,86.5091863517
modlem-boosting,half,all,50,86.8766404199
modlem,all,no_pix,75,76.9553805774
modlem-boosting,all,no_pix,50,79.6062992126
random-forest,all,no_pix,25,80.4199475066
random-forest,half,all,25,87.0448179272
modlem-boosting,all,all,75,90.2887139108
random-forest,all,all,50,90.3937007874
random-modlem,half,all,25,80.9523809524
modlem-boosting,half,no_pix,75,80.6519453207
random-modlem,all,all,50,87.532808399
modlem-bagging,half,no_pix,50,76.2729658793
modlem-bagging,half,all,75,86.5404837014
random-modlem,all,no_pix,75,79.6325459318
modlem-bagging,half,no_pix,75,76.8664563617
random-forest,all,no_pix,75,82.782152231
modlem-boosting,half,all,25,83.6134453782
random-modlem,all,no_pix,75,79.3700787402
random-modlem,half,all,50,83.3070866142
random-modlem,all,all,25,83.3420822397
modlem-bagging,all,all,75,89.8687664042
random-forest,half,no_pix,50,81.7322834646
random-forest,half,no_pix,25,79.0966386555
random-forest,all,no_pix,25,80.4199475066
modlem-bagging,half,no_pix,50,76.3254593176
modlem-boosting,half,no_pix,25,77.0658263305
random-modlem,all,all,75,88.6089238845
modlem-bagging,all,no_pix,50,76.6141732283
modlem-boosting,half,no_pix,75,77.4973711882
modlem,all,no_pix,75,76.9553805774
modlem-bagging,half,all,75,86.6456361725
random-forest,half,no_pix,75,81.2828601472
modlem-boosting,all,no_pix,75,80.8398950131
random-forest,half,all,75,90.4311251314
modlem-bagging,all,all,25,86.7716535433
random-modlem,half,no_pix,75,77.2870662461
modlem-bagging,half,all,25,82.1428571429
modlem-bagging,half,all,50,85.249343832
modlem,all,no_pix,50,75.0656167979
modlem,all,no_pix,25,72.5984251969
modlem-boosting,half,all,75,87.4868559411
modlem-boosting,all,no_pix,50,79.4750656168
modlem-bagging,all,no_pix,75,78.0052493438
modlem-boosting,all,all,25,88.1714785652
modlem-bagging,half,no_pix,25,74.7198879552
random-forest,half,all,50,88.7139107612
random-modlem,all,no_pix,50,77.2440944882
random-forest,all,all,75,91.0761154856
random-forest,all,no_pix,50,82.3622047244
modlem,all,all,25,84.321959755
modlem-bagging,all,no_pix,25,75.135608049
random-forest,all,all,25,89.7812773403
modlem,half,no_pix,50,74.0682414698
random-modlem,half,no_pix,25,75.0350140056
random-forest,half,all,25,86.8347338936
modlem-boosting,half,all,50,86.8241469816
modlem,half,all,75,84.4374342797
random-modlem,all,all,50,87.9002624672
random-modlem,half,all,75,85.5941114616
random-forest,all,all,50,90.6299212598
random-modlem,half,all,25,80.0070028011
random-modlem,half,no_pix,50,76.7979002625
modlem-boosting,all,all,50,89.501312336
modlem,half,all,25,79.1666666667
random-modlem,all,no_pix,25,75.0656167979
modlem,all,all,50,86.1679790026
modlem,half,no_pix,25,73.0392156863
modlem-boosting,half,no_pix,50,79.3700787402
modlem-bagging,all,all,50,88.1364829396
modlem,half,all,50,83.2020997375
modlem-boosting,all,all,75,90.5511811024
random-forest,all,no_pix,75,83.0446194226
modlem,all,all,75,88.3464566929
modlem-bagging,half,no_pix,75,75.920084122
modlem,half,no_pix,75,75.0788643533
modlem-boosting,all,no_pix,25,78.1802274716
modlem-boosting,all,no_pix,25,77.7252843395
random-forest,all,no_pix,25,79.9825021872
random-forest,all,no_pix,75,83.4120734908
random-modlem,half,all,50,82.8346456693
modlem-bagging,all,all,50,87.5853018373
modlem-bagging,all,all,25,86.0017497813
modlem-bagging,half,no_pix,50,75.5380577428
random-modlem,all,all,25,83.009623797
modlem-boosting,all,all,25,87.8565179353
modlem,half,all,50,83.2020997375
modlem,all,all,25,84.321959755
modlem,all,all,50,86.1679790026
random-modlem,half,no_pix,50,77.217847769
modlem,half,no_pix,50,74.0682414698
modlem-boosting,all,no_pix,50,79.2650918635
random-modlem,half,all,75,85.0683491062
random-modlem,half,all,25,80.2521008403
modlem-boosting,all,no_pix,75,80.2624671916
random-forest,half,no_pix,75,80.8622502629
modlem-boosting,half,no_pix,75,81.1777076761
modlem,all,no_pix,50,75.0656167979
random-forest,half,all,25,86.4495798319
modlem-bagging,half,no_pix,75,77.0767613039
modlem,all,all,75,88.3464566929
random-forest,half,no_pix,50,81.469816273
random-forest,half,all,75,90.1156677182
modlem,half,all,75,84.4374342797
random-modlem,all,no_pix,25,75.1006124234
random-forest,all,all,50,90.4199475066
modlem,all,no_pix,75,76.9553805774
random-modlem,all,no_pix,50,78.0839895013
random-forest,all,all,75,91.7060367454
modlem,half,all,25,79.1666666667
modlem-bagging,all,no_pix,75,77.6902887139
modlem-boosting,half,no_pix,50,78.530183727
modlem-boosting,half,no_pix,25,77.1708683473
random-forest,all,no_pix,50,82.5459317585
modlem-bagging,half,all,75,86.2250262881
modlem-bagging,half,all,25,81.68767507
modlem-boosting,half,all,25,83.0182072829
random-modlem,all,all,50,87.7165354331
modlem,all,no_pix,25,72.5984251969
random-forest,all,all,25,90.4811898513
modlem-boosting,all,all,75,90.2362204724
modlem-boosting,half,all,75,88.5383806519
modlem-bagging,all,no_pix,25,75.3980752406
random-modlem,all,no_pix,75,79.0551181102
modlem,half,no_pix,25,73.0392156863
modlem-boosting,half,all,50,86.0367454068
random-modlem,half,no_pix,75,78.1282860147
modlem-bagging,all,all,75,89.2913385827
modlem,half,no_pix,75,75.0788643533
modlem-bagging,half,no_pix,25,74.5448179272
random-forest,half,all,50,88.6089238845
modlem-boosting,all,all,50,89.6850393701
random-modlem,half,no_pix,25,75.0700280112
modlem-bagging,half,all,50,85.1443569554
random-forest,half,no_pix,25,79.6218487395
random-modlem,all,all,75,88.1364829396
modlem-bagging,all,no_pix,50,76.2992125984
modlem,all,all,25,84.321959755
modlem,half,all,25,79.1666666667
random-forest,all,no_pix,75,83.0446194226
modlem-boosting,half,no_pix,50,78.1102362205
modlem-bagging,all,all,50,88.031496063
modlem-bagging,all,no_pix,75,77.7427821522
modlem-bagging,all,all,25,86.5441819773
modlem-boosting,half,all,75,89.0641430074
modlem-boosting,half,no_pix,25,77.2408963585
modlem-bagging,half,no_pix,50,76.1154855643
modlem,half,no_pix,50,74.0682414698
random-forest,half,no_pix,75,81.7034700315
modlem,half,no_pix,25,73.0392156863
random-modlem,half,all,25,80.5672268908
random-modlem,all,no_pix,50,77.532808399
random-modlem,half,all,50,82.8346456693
modlem-boosting,all,all,25,88.2764654418
modlem,half,all,75,84.4374342797
modlem-boosting,all,all,50,89.8950131234
random-modlem,all,all,25,83.3595800525
random-modlem,half,no_pix,25,74.299719888
random-forest,half,all,75,90.2208201893
modlem-bagging,all,no_pix,50,75.9580052493
random-forest,all,no_pix,50,82.7034120735
modlem-boosting,half,all,50,86.4041994751
modlem,all,all,50,86.1679790026
random-modlem,half,no_pix,50,76.6929133858
random-forest,all,all,50,90.7611548556
random-forest,half,all,50,88.1364829396
modlem-bagging,half,no_pix,75,76.6561514196
random-modlem,all,all,75,88.1364829396
modlem,all,no_pix,25,72.5984251969
random-modlem,all,all,50,87.9527559055
random-forest,half,all,25,87.2198879552
modlem-bagging,half,all,25,80.5322128852
random-forest,half,no_pix,25,80.2521008403
random-modlem,all,no_pix,75,79.5275590551
modlem-boosting,half,all,25,83.9285714286
modlem,all,all,75,88.3464566929
modlem-boosting,half,no_pix,75,79.2849631966
modlem-boosting,all,no_pix,25,78.1627296588
modlem,all,no_pix,50,75.0656167979
modlem-bagging,half,all,50,85.5643044619
modlem-boosting,all,no_pix,75,79.2650918635
modlem,half,all,50,83.2020997375
modlem,half,no_pix,75,75.0788643533
modlem-bagging,all,all,75,89.186351706
modlem-bagging,half,no_pix,25,74.649859944
random-modlem,half,all,75,85.4889589905
modlem-bagging,all,no_pix,25,75.0656167979
modlem-boosting,all,all,75,90.0787401575
random-forest,all,all,25,89.9737532808
random-modlem,all,no_pix,25,75.5905511811
modlem-boosting,all,no_pix,50,78.6614173228
modlem,all,no_pix,75,76.9553805774
random-forest,all,all,75,91.2860892388
random-forest,half,no_pix,50,82.1522309711
random-forest,all,no_pix,25,79.6500437445
random-modlem,half,no_pix,75,76.9716088328
modlem-bagging,half,all,75,86.8559411146
random-forest,half,no_pix,25,79.9019607843
random-modlem,all,all,25,84.1294838145
modlem-boosting,all,no_pix,25,78.1977252843
modlem-bagging,half,no_pix,50,75.3805774278
modlem,all,no_pix,25,72.5984251969
random-forest,all,no_pix,75,82.9396325459
random-forest,half,no_pix,50,81.4173228346
random-modlem,all,no_pix,50,77.6640419948
modlem-bagging,all,no_pix,75,77.5853018373
modlem-boosting,half,no_pix,75,79.4952681388
random-modlem,all,no_pix,25,75.2230971129
modlem-bagging,half,all,25,82.4579831933
modlem-boosting,all,no_pix,75,80.0524934383
random-modlem,all,all,50,87.9790026247
modlem-boosting,all,all,75,91.2335958005
modlem-boosting,half,all,75,88.2229232387
modlem,half,no_pix,75,75.0788643533
modlem,all,no_pix,50,75.0656167979
random-modlem,half,all,50,83.3070866142
modlem,all,all,50,86.1679790026
modlem-boosting,all,no_pix,50,79.186351706
random-forest,all,all,50,90.9186351706
modlem-bagging,all,all,50,88.3202099738
modlem-bagging,half,all,50,84.5669291339
modlem,all,all,25,84.321959755
modlem-bagging,half,no_pix,75,76.3406940063
modlem,all,no_pix,75,76.9553805774
modlem,half,no_pix,50,74.0682414698
random-modlem,half,all,25,81.337535014
modlem-boosting,half,all,50,86.56167979
random-forest,all,all,25,90.2012248469
random-modlem,half,no_pix,50,76.7979002625
modlem-bagging,half,no_pix,25,74.474789916
modlem-boosting,half,no_pix,25,78.0462184874
modlem,half,all,75,84.4374342797
random-forest,all,no_pix,25,80.6124234471
random-modlem,all,no_pix,75,79.1601049869
modlem-bagging,all,no_pix,50,76.7716535433
random-forest,all,all,75,91.4435695538
random-forest,half,all,25,87.2899159664
modlem-boosting,all,all,50,89.3963254593
random-modlem,half,all,75,84.752891693
modlem-boosting,half,no_pix,50,78.1627296588
modlem-bagging,half,all,75,85.1735015773
modlem-boosting,half,all,25,83.9285714286
modlem,all,all,75,88.3464566929
modlem-bagging,all,all,75,89.1338582677
random-modlem,all,all,75,88.2414698163
modlem,half,all,50,83.2020997375
random-forest,all,no_pix,50,82.125984252
random-forest,half,all,50,88.7664041995
modlem-bagging,all,no_pix,25,75.6955380577
random-forest,half,all,75,90.2208201893
modlem-boosting,all,all,25,87.9790026247
modlem,half,all,25,79.1666666667
modlem-bagging,all,all,25,86.1417322835
random-modlem,half,no_pix,75,77.0767613039
random-forest,half,no_pix,75,81.072555205
modlem,half,no_pix,25,73.0392156863
random-modlem,half,no_pix,25,74.5448179272
